Type,Date,Bill Number,Discount,Subtotal,Delivery Amt,Total Bill,Channel,Customer ID,Dish Details
Dine In,2018-06-12,20084177328,0,180,0,180,-,UnKnown,"Aloo Paratha (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000)"
Take Away,2018-06-12,20084177656,0,160,0,160,-,289200068721,"Chole Bathure (QTY-1.000),Chole Bathure (QTY-1.000)"
Home Delivery,2018-06-12,20084177984,0,150,0,150,Zomato COD,249225345118,Veg Biryani (QTY-1.000)
Home Delivery,2018-06-12,20084178312,0,168,0,168,Zomato Online,249225336872,"Tandoori Roti (QTY-4.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084178640,0,210,0,210,Zomato Online,69428142806,Mutton Seekh Kebab (QTY-1.000)
Home Delivery,2018-06-12,20084178968,0,470,0,470,Zomato COD,249229159451,"Chicken Lollypop (6 pc) (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Cold Coffee (QTY-1.000)"
Dine In,2018-06-12,20084179296,0,176,0,176,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Chicken Curry (QTY-1.000),Cold Drink s (QTY-1.000)"
Home Delivery,2018-06-12,20084179952,0,300,0,300,Zomato Online,69427866286,"Tandoori Roti (QTY-15.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084180280,0,200,0,200,Zomato COD,35326919360,"Egg Roll (QTY-1.000),Tadka Khichdi (QTY-1.000)"
Home Delivery,2018-06-12,20084180608,0,162,0,162,Zomato Online,248943991412,"Chilly Chicken (QTY-1.000),Tandoori Roti (QTY-1.000)"
Home Delivery,2018-06-12,20084180936,0,340,0,340,Zomato Online,69427928844,"Tandoori Chicken (QTY-1.000),Paneer Paratha (QTY-1.000)"
Home Delivery,2018-06-12,20084181264,0,120,0,120,Zomato Online,249028102379,Mix Veg (QTY-1.000)
Home Delivery,2018-06-12,20084181592,0,100,0,100,Zomato Online,249229172564,Egg Curry (QTY-1.000)
Dine In,2018-06-12,20084181920,0,626,0,626,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Plain Rice (QTY-2.000),Mutton Rogan Josh (QTY-1.000),Fish Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084182248,0,190,0,190,Zomato COD,249028085298,"Cheese Garlic Paratha (QTY-1.000),Plain Rice (QTY-1.000),Egg Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084182576,0,300,0,300,Zomato Online,248949286894,"Chicken Garlic Tikka (QTY-1.000),Lachchha Paratha (QTY-2.000),Chicken Chettinad (QTY-1.000)"
Home Delivery,2018-06-12,20084182904,0,220,0,220,Zomato Online,249028084771,Fish Tikka (QTY-1.000)
Home Delivery,2018-06-12,20084183232,0,216,0,216,Zomato COD,249225359068,"Tandoori Roti (QTY-8.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084183560,0,320,0,320,Zomato Online,248949298147,"Tandoori Chicken (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000)"
Home Delivery,2018-06-12,20084183888,0,275,0,275,Zomato Online,246127162679,"Green Salad (QTY-1.000),Butter nan (QTY-3.000),Mutter Paneer (QTY-1.000)"
Take Away,2018-06-12,20084184216,0,1000,0,1000,-,289200068721,"Paneer Garlic Tikka (QTY-1.000),Paneer Pudina Tikka (QTY-1.000),Chicken Leg Afgani 2 pc (QTY-1.000),Chicken Leg Afgani 2 pc (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Jeera Rice (QTY-1.000),Dal tadhka (QTY-1.000),Kaju curry (QTY-1.000)"
Dine In,2018-06-12,20084184544,0,220,0,220,-,UnKnown,"Veg Manchurian (QTY-1.000),Boiled Fry (QTY-1.000),Cold Coffee (QTY-1.000)"
Take Away,2018-06-12,20084184872,0,300,10,310,-,38271357206,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Take Away,2018-06-12,20084185200,0,220,0,220,-,38271357206,Fish Fry (QTY-1.000)
Home Delivery,2018-06-12,20084185528,0,330,0,330,Zomato Online,35326924041,"Chicken Tikka (QTY-1.000),Aloo Paratha (QTY-1.000),Chole Kulche Amritsari (QTY-1.000),rajma rice (QTY-1.000)"
Home Delivery,2018-06-12,20084185856,0,160,0,160,Zomato Online,69427741387,Tandoori Chicken (QTY-1.000)
Home Delivery,2018-06-12,20084186184,0,100,0,100,Zomato COD,249023907459,Egg Curry (QTY-1.000)
Home Delivery,2018-06-12,20084186512,0,160,0,160,Zomato Online,69427930797,"Mix Paratha (QTY-1.000),Tadka Khichdi (QTY-1.000)"
Home Delivery,2018-06-12,20084186840,0,198,0,198,Zomato Online,249225347970,"Tandoori Roti (QTY-4.000),Mutton Home Style (QTY-1.000)"
Home Delivery,2018-06-12,20084187168,0,150,0,150,Zomato Online,248949286243,Mutton Bati (QTY-1.000)
Home Delivery,2018-06-12,20084187496,0,150,0,150,Zomato COD,249229190544,Chilly Chicken (QTY-1.000)
Home Delivery,2018-06-12,20084187824,0,420,0,420,Zomato Online,248949286801,"Chicken Garlic Tikka (QTY-1.000),Veg Seekh Kabab (QTY-1.000),Paneer Tikka (QTY-1.000)"
Home Delivery,2018-06-12,20084188152,0,176,0,176,Zomato COD,137355594588,"Tandoori Roti (QTY-3.000),muttor Mushroom (QTY-1.000)"
Take Away,2018-06-12,20084188480,0,220,10,230,-,UnKnown,Chicken Palak (QTY-1.000)
Take Away,2018-06-12,20084188808,0,160,10,170,-,38271357206,"Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-12,20084189136,0,160,0,160,Zomato COD,69248666167,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Dine In,2018-06-12,20084189464,0,170,0,170,-,UnKnown,"Veg Biryani (QTY-1.000),Cold Drink s (QTY-1.000)"
Take Away,2018-06-12,20084189792,0,80,0,80,-,289200068721,Chole Kulche Amritsari (QTY-1.000)
Home Delivery,2018-06-12,20084190120,0,330,0,330,Zomato Online,249229161683,"Tandoori Roti Butter (QTY-6.000),Jeera Rice (QTY-1.000),Paneer Butter Masala (QTY-1.000)"
Home Delivery,2018-06-12,20084190448,0,520,20,540,-,288348097147,"Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Fish Tikka (QTY-1.000)"
Take Away,2018-06-12,20084190776,0,280,0,280,-,302408281315,"Cold Coffee (QTY-1.000),Cold Coffee (QTY-1.000),Cold Coffee (QTY-1.000),Cold Coffee (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000)"
Home Delivery,2018-06-12,20084191104,0,300,0,300,Zomato Online,249224626693,Kadhai Chicken (QTY-1.000)
Home Delivery,2018-06-12,20084191432,0,316,0,316,Zomato Online,246127152945,"Tandoori Roti (QTY-3.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084191760,0,195,0,195,Zomato Online,69427739961,"Butter nan (QTY-3.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084192088,0,330,0,330,Zomato Online,249225336097,"Tandoori Paratha (QTY-2.000),Lachchha Paratha (QTY-2.000),Fish Fry (QTY-1.000),Mix Veg (QTY-1.000)"
Home Delivery,2018-06-12,20084192416,0,220,0,220,Zomato COD,103512029936,"Plain nan (QTY-5.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-12,20084192744,0,150,0,150,Zomato Online,249225336624,"Chicken Malai Tikka (QTY-1.000),plain maggi (QTY-1.000)"
Take Away,2018-06-12,20084193072,0,500,0,500,-,289200068721,"Veg Noodles (QTY-1.000),Veg Noodles (QTY-1.000),Chicken Roll (QTY-1.000),Chicken Roll (QTY-1.000),Chicken Roll (QTY-1.000)"
Home Delivery,2018-06-12,20084193400,0,160,0,160,Zomato Online,248949295915,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Home Delivery,2018-06-12,20084193728,0,310,0,310,Zomato COD,250206177988,"Veg Biryani (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)"
Dine In,2018-06-12,20084194056,0,180,0,180,-,UnKnown,"Egg Roll (QTY-1.000),Chicken Roll (QTY-1.000)"
Dine In,2018-06-12,20084194384,0,640,0,640,-,UnKnown,"water bottle (QTY-1.000),water bottle (QTY-1.000),Mutton Bati (QTY-1.000),Mutton Bati (QTY-1.000),Mutton Bati (QTY-1.000),Mutton Bati (QTY-1.000)"
Take Away,2018-06-12,20084194712,0,1236,0,1236,-,289200068721,"Veg Noodles (QTY-1.000),Veg Noodles (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Jeera Rice (QTY-1.000),Chicken Curry (QTY-2.000),Chicken Handi (QTY-1.000),Masala Cheese Maggi (QTY-1.000),Masala Cheese Maggi (QTY-1.000),Chicken Roll (QTY-1.000),Chicken Roll (QTY-1.000),Chicken Roll (QTY-1.000)"
Dine In,2018-06-13,20084195040,0,260,0,260,-,UnKnown,"Cheese Chutney Half (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000)"
Home Delivery,2018-06-13,20084195368,0,300,0,300,Zomato Online,69425470234,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084195696,0,180,0,180,Zomato Online,249225355627,Butter Chicken (QTY-1.000)
Home Delivery,2018-06-13,20084196024,0,180,0,180,Zomato Online,69428142806,Butter Chicken (QTY-1.000)
Dine In,2018-06-13,20084196352,0,296,0,296,-,UnKnown,"Chicken Tikka (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-2.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Chicken Curry (QTY-1.000)"
Take Away,2018-06-13,20084196680,0,140,10,150,-,231587765414,Chicken Chettinad (QTY-1.000)
Home Delivery,2018-06-13,20084197336,0,100,0,100,Zomato Online,249028098225,"Roasted Papad (QTY-1.000),Chole Kulche Amritsari (QTY-1.000)"
Home Delivery,2018-06-13,20084197664,0,120,0,120,Zomato COD,69427738690,Chicken Curry (QTY-1.000)
Dine In,2018-06-13,20084197992,0,350,0,350,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Chicken Curry (QTY-1.000),Fish Curry (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000)"
Take Away,2018-06-13,20084198320,0,40,0,40,-,38271357206,Aloo Paratha (QTY-1.000)
Home Delivery,2018-06-13,20084198648,0,160,0,160,Zomato Online,248949292939,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Take Away,2018-06-13,20084198976,0,215,0,215,-,289200068721,"Butter nan (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Sev Tamater (QTY-1.000),Masala Maggi (QTY-1.000)"
Home Delivery,2018-06-13,20084199304,0,476,0,476,Zomato Online,249229174734,"Tandoori Roti (QTY-8.000),Fish Fry (QTY-1.000),Chicken Kolhapuri (QTY-1.000)"
Home Delivery,2018-06-13,20084199632,0,565,0,565,Zomato COD,35326919143,"Butter nan (QTY-3.000),Chicken Fry (QTY-1.000),Muttor Pulav (QTY-1.000),Dal Fry (QTY-1.000),Jeera Aloo (QTY-1.000)"
Home Delivery,2018-06-13,20084199960,0,160,0,160,Zomato Online,249229167976,Kadhai Chicken (QTY-1.000)
Home Delivery,2018-06-13,20084200288,0,300,0,300,Zomato Online,62932544941,"Tandoori Roti (QTY-15.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-13,20084200616,0,510,0,510,Zomato Online,69428030555,"Lachchha Paratha (QTY-4.000),Plain nan (QTY-1.000),Dal Fry (QTY-1.000),Mix Veg (QTY-1.000),Paneer Butter Masala (QTY-1.000)"
Take Away,2018-06-13,20084200944,0,520,0,520,-,301109882616,"Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Chicken (QTY-1.000),Fish Tikka (QTY-1.000)"
Home Delivery,2018-06-13,20084201272,0,180,20,200,-,69160377020,"Plain Rice (QTY-1.000),Fish Tikka (QTY-1.000)"
Dine In,2018-06-13,20084201600,0,180,0,180,-,UnKnown,"Tea (QTY-1.000),Tea (QTY-1.000),Tea (QTY-1.000),Cold Coffee (QTY-1.000),Cold Coffee (QTY-1.000),Cold Coffee (QTY-1.000)"
Home Delivery,2018-06-13,20084201928,0,150,0,150,Zomato Online,249028097760,"Butter nan (QTY-2.000),Egg Curry (QTY-1.000)"
Home Delivery,2018-06-13,20084202256,0,220,0,220,Zomato Online,249225341522,"Plain nan (QTY-5.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-13,20084202584,0,120,0,120,Zomato COD,250206177306,Mix Veg (QTY-1.000)
Home Delivery,2018-06-13,20084203240,0,300,0,300,Zomato Online,250206161155,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084203568,0,160,0,160,Zomato COD,248949290335,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084203896,0,260,0,260,Zomato Online,69428138342,Chicken Lollypop (6 pc) (QTY-1.000)
Home Delivery,2018-06-13,20084204224,0,500,0,500,-,288319320281,"Tandoori Chicken (QTY-1.000),Butter Chicken (QTY-1.000)"
Take Away,2018-06-13,20084204552,44,396,0,396,-,298468063980,"Fish Tikka (QTY-1.000),Fish Tikka (QTY-1.000)"
Take Away,2018-06-13,20084204880,0,160,0,160,-,289200068721,Kadhai Chicken (QTY-1.000)
Dine In,2018-06-13,20084205208,0,370,0,370,-,UnKnown,"Mutton Seekh Kebab (QTY-1.000),Paneer Tikka (QTY-1.000)"
Take Away,2018-06-13,20084205536,0,320,0,320,-,289200068721,Hyderabadi Mutton Dum Biryani (QTY-2.000)
Home Delivery,2018-06-13,20084205864,0,180,0,180,Zomato COD,69419591673,"Plain Rice (QTY-1.000),Egg Curry (QTY-1.000)"
Take Away,2018-06-13,20084206520,0,260,0,260,-,289200068721,Chicken Lollypop (6 pc) (QTY-1.000)
Take Away,2018-06-13,20084206848,0,160,0,160,-,38271357206,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084207176,0,300,0,300,Zomato COD,69427933835,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084207504,0,160,0,160,Zomato Online,249229189800,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084207832,0,120,0,120,Zomato Online,249225351938,"Punjabi Salad (QTY-1.000),Chole Bathure (QTY-1.000)"
Take Away,2018-06-13,20084208160,0,180,0,180,-,38271357206,"Plain Rice (QTY-1.000),Fish Curry (QTY-1.000)"
Dine In,2018-06-13,20084208488,0,395,0,395,-,UnKnown,"Chilly Chicken (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-3.000),Mutton Curry (QTY-1.000),water bottle (QTY-1.000)"
Take Away,2018-06-13,20084208816,0,0,0,0,-,UnKnown,"Tandoori Chicken (QTY-1.000),Paneer Tikka (QTY-1.000)"
Home Delivery,2018-06-13,20084209472,0,372,0,372,Zomato Online,248949297527,"Chicken Malai Tikka (QTY-1.000),Tandoori Roti (QTY-1.000),Jeera Rice (QTY-1.000),Dal Fry (QTY-1.000)"
Take Away,2018-06-13,20084209800,0,160,0,160,-,289200068721,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Dine In,2018-06-13,20084210128,0,610,0,610,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-13,20084210456,0,190,0,190,Zomato COD,249028093792,Tandoori Chicken Afgani (QTY-1.000)
Home Delivery,2018-06-13,20084210784,0,100,0,100,Zomato Online,249023917937,Chicken Roll (QTY-1.000)
Home Delivery,2018-06-13,20084211112,0,160,0,160,Zomato Online,69428071940,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084211440,0,730,0,730,Zomato COD,249229186514,"Tandoori Roti (QTY-10.000),Tadka Khichdi (QTY-1.000),Dal tadhka (QTY-1.000),Sev Tamater (QTY-1.000),Mix Veg (QTY-1.000),Paneer Tikka (QTY-1.000)"
Home Delivery,2018-06-13,20084211768,0,130,0,130,Zomato COD,249028085949,Chicken Home Style (QTY-1.000)
Home Delivery,2018-06-13,20084212424,0,300,0,300,Zomato Online,249028102720,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-13,20084212752,0,100,0,100,Zomato COD,69425467909,rajma rice (QTY-1.000)
Home Delivery,2018-06-13,20084213080,0,350,0,350,Zomato Online,249225348776,"Tandoori Roti (QTY-5.000),Chicken Kolhapuri (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-13,20084213408,0,150,0,150,Zomato Online,249023912698,Mutton Bati (QTY-1.000)
Dine In,2018-06-13,20084213736,0,194,0,194,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Plain Rice (QTY-1.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-13,20084214064,0,166,0,166,Zomato Online,69428071878,"Tandoori Roti (QTY-3.000),Tandoori Roti Butter (QTY-2.000),Sev Tamater (QTY-1.000)"
Home Delivery,2018-06-13,20084214392,0,300,0,300,Zomato Online,248943905077,Tandoori Roti (QTY-25.000)
Home Delivery,2018-06-13,20084214720,0,320,0,320,Zomato Online,250201720126,"Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000)"
Home Delivery,2018-06-13,20084215048,0,320,0,320,Zomato COD,69428031299,Chicken Fried Rice (QTY-2.000)
Take Away,2018-06-13,20084215376,0,532,0,532,-,289200068721,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Dal Makhani (QTY-1.000),Dal Makhani (QTY-1.000),Butter Chicken (QTY-1.000)"
Take Away,2018-06-13,20084215704,0,220,10,230,-,217013508060,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Chicken Handi (QTY-1.000)"
Dine In,2018-06-13,20084216032,0,402,0,402,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Rayalaseema Kodi Kura (QTY-1.000)"
Dine In,2018-06-13,20084216360,0,898,0,898,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Fish Fry (QTY-1.000),Plain Rice (QTY-1.000),Chicken Curry (QTY-1.000),Butter Chicken (QTY-1.000),Mutton Rogan Josh (QTY-1.000)"
Take Away,2018-06-13,20084216688,0,1400,0,1400,-,289200068721,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-14.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Chicken Seekh Kebab (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Plain Rice (QTY-1.000),Butter Khichdhi (QTY-1.000),Sev Tamater (QTY-1.000),Bhindi masala (QTY-1.000),Egg Curry (QTY-1.000),Egg Curry (QTY-1.000),Egg Curry (QTY-1.000),Fish Curry (QTY-1.000)"
Home Delivery,2018-06-14,20084217016,0,256,0,256,Zomato COD,249025404046,"Tandoori Roti (QTY-3.000),Plain Rice (QTY-1.000),Chicken Tikka Masala (QTY-1.000)"
Home Delivery,2018-06-14,20084217344,0,364,0,364,Zomato Online,69419474524,"Tandoori Roti (QTY-12.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-14,20084217672,0,320,0,320,Zomato Online,249028093048,Tandoori Malai Chicken (QTY-1.000)
Home Delivery,2018-06-14,20084218000,0,180,0,180,Zomato COD,69428034058,Butter Chicken (QTY-1.000)
Home Delivery,2018-06-14,20084218328,0,220,0,220,Zomato Online,248949287266,"Tandoori Roti Butter (QTY-8.000),Aloo Gobhi (QTY-1.000)"
Home Delivery,2018-06-14,20084218656,0,420,0,420,Zomato Online,69428074482,"Tandoori Roti Butter (QTY-4.000),Lachchha Paratha (QTY-2.000),rajma rice (QTY-1.000),Paneer Tikka Masala (QTY-1.000)"
Take Away,2018-06-14,20084218984,0,220,10,230,-,38271357206,Fish Tikka (QTY-1.000)
Take Away,2018-06-14,20084219312,0,500,20,520,-,282459941616,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Paneer Tikka (QTY-1.000),Paneer Tikka Masala (QTY-1.000)"
Take Away,2018-06-14,20084219640,0,560,20,580,-,38271357206,"Fried Rice (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Hyderabadi Chicken Tikka Biryani (QTY-1.000)"
Dine In,2018-06-14,20084219968,0,296,0,296,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Plain Rice (QTY-1.000),Chicken Curry (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000)"
Dine In,2018-06-14,20084220296,0,210,0,210,-,UnKnown,"Plain Rice (QTY-1.000),Fish Curry (QTY-1.000)"
Home Delivery,2018-06-14,20084220624,0,186,0,186,Zomato Online,250206173059,"Tandoori Roti (QTY-3.000),Bhuna Chicken (QTY-1.000)"
Take Away,2018-06-14,20084220952,0,160,0,160,-,289200068721,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Dine In,2018-06-14,20084221280,0,235,0,235,-,UnKnown,"Lachchha Paratha (QTY-1.000),Lachchha Paratha (QTY-1.000),Butter nan (QTY-1.000),Dhaniya Chicken (QTY-1.000),Cold Drink (QTY-1.000)"
Home Delivery,2018-06-14,20084221608,0,120,0,120,Zomato COD,250206156195,Chicken Curry (QTY-1.000)
Home Delivery,2018-06-14,20084221936,0,350,0,350,Zomato Online,248949288940,"Tandoori Chicken Pahadi (QTY-1.000),Chicken Kolhapuri (QTY-1.000)"
Home Delivery,2018-06-14,20084222264,0,124,0,124,Zomato COD,69427921776,"Tandoori Roti (QTY-2.000),Egg Curry (QTY-1.000)"
Take Away,2018-06-14,20084222592,0,160,0,160,-,289200068721,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-14,20084222920,0,220,0,220,Zomato Online,249225360463,Chicken Curry (QTY-1.000)
Home Delivery,2018-06-14,20084223248,0,220,0,220,Zomato Online,69438879873,Fish Tikka (QTY-1.000)
Home Delivery,2018-06-14,20084223576,0,120,0,120,Zomato COD,69419735513,"rajma rice (QTY-1.000),Butter Milk (QTY-1.000)"
Home Delivery,2018-06-14,20084223904,0,360,0,360,Zomato Online,69438869209,"Plain Rice (QTY-1.000),Chicken Home Style (QTY-1.000),Paneer Butter Masala (QTY-1.000)"
Take Away,2018-06-14,20084224232,0,575,0,575,-,223462087233,"Chicken Tikka (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Chicken Tikka Masala (QTY-1.000)"
Dine In,2018-06-14,20084224560,0,675,0,675,-,UnKnown,"Butter nan (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Keema Masala (QTY-1.000),Mutton Home Style (QTY-1.000)"
Take Away,2018-06-14,20084224888,0,180,10,190,-,291596912833,"Plain Rice (QTY-1.000),Fish Tikka (QTY-1.000)"
Home Delivery,2018-06-14,20084225216,0,120,0,120,Zomato COD,250206173865,"Jeera Rice (QTY-1.000),Butter Milk (QTY-1.000)"
Home Delivery,2018-06-14,20084225544,0,198,0,198,Zomato COD,69428139923,"Chilly Chicken (QTY-1.000),Tandoori Roti (QTY-4.000)"
Take Away,2018-06-14,20084225872,0,120,0,120,-,38271357206,Chicken Curry (QTY-1.000)
Home Delivery,2018-06-14,20084226200,0,380,0,380,Zomato COD,69438914407,"Plain nan (QTY-2.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Butter Chicken (QTY-1.000)"
Home Delivery,2018-06-14,20084226528,0,560,0,560,Zomato COD,69427969361,"Butter nan (QTY-4.000),Dal Makhani (QTY-2.000),Paneer Butter Masala (QTY-1.000)"
Take Away,2018-06-14,20084226856,0,160,10,170,-,38271357206,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-14,20084227184,0,120,0,120,Zomato Online,249224644952,Chicken Malai Tikka (QTY-1.000)
Take Away,2018-06-14,20084227512,0,220,0,220,-,38271357206,Chicken Home Style (QTY-1.000)
Dine In,2018-06-14,20084227840,0,180,0,180,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Plain Rice (QTY-1.000),Egg Curry (QTY-1.000)"
Take Away,2018-06-14,20084228168,0,220,0,220,-,38271357206,Chicken Home Style (QTY-1.000)
